,spotify_id,name,representative_text
260,7zVYyYhGZxvPHPuhzReYHP,Ziynet Sali,
261,1Td3Fc1O4YfK9KxeZDAoOu,Blue Shade,
262,0UtXMxHMXhwQUI6G6TFDt1,Gin Lee,
263,378dH6EszOLFShpRzAQkVM,Lindsey Stirling,
264,3MZpb7Owf8kVwJS6B7iiXB,Real Phantom,
265,51TXQniEQkYh89tfLjiuSy,Ant Wan,
266,2ZuJ3O0fOv3tkh6CFmyrf2,Nora Istrefi,
267,6n28c9qs9hNGriNa72b26u,PNAU,
268,4xnihxcoXWK3UqryOSnbw5,Sasha Alex Sloan,
269,0LtICwkx09q0oc4VjuwJTT,ANYA,
270,6Fzcb6MUQTqnojF8woJsKd,Keya,
271,3T0mKZYTDmRODhPJYsQNoz,Mr. Crazy,
272,2JwEiVkGIuCxy70AClY24s,Beatrice,
273,1umTeYMbiCSj1nl2fqXVcZ,The Main Level,
274,0VOGPk9LCPMxzjkiX5JdZF,Joe Weller,
275,2SWOP0LsgpQQZa8olP3Wup,Dear Jack,
276,4EPYWwU4c8eG2GzD7MenUA,Kim Feel,
277,7j5PGC0BF48rRtcmgbVvOT,Arsy Widianto,
278,3MNnSV5hDd2UzZzgqD8xlU,Shay,
279,2TpaCFJmJnvjXcq2Dyajfa,Summer All Stars,
280,7ExWkh4tY8Y0HYmTD3kz7Y,Samantha,
281,3AIPhNgeF9S1Kyg9Yy3UQW,Dani Martín,
282,5hGI3NJR6bDbvpXj9aFE4w,Rey Mbayang,
283,73GvUkYDMIcPNepUhyC8ic,RSAC,
284,3k785W4GFDnZfTortQlhMA,Nicklas Sahl,
285,2tQbSWgZLIB8MXMnsXVRro,Nina,
286,64PJHZDQTPPVBCdwnv22Wz,Josef Salvat,
287,12SPNXi0aDpFt0rMVbmLrr,Jay Hardway,
288,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,
289,3ClL18AtCAPwXVT6mUkBDN,Kaśka Sochacka,
290,7hD6dkjWHapWVwkI6bjDFo,Ran Danker,
291,70SvhGqakpocD7GxVYnnBC,Mensa,
292,2IgHMpFsnNb4T0HtVx0ZK1,Olympique,
293,2oCQSda6vA1t27B5RWXYwb,Juno,
294,4V06fnLOo7Mc3PBbYzQaH1,Lallet,
295,5DXzQwj6Kgr5kBjVlYdSHo,Loud,
296,7qAoXV4U0qDxQAUqhszjAA,Manuel Carrasco,
297,1A8xiGywRrptx8atvxDqBZ,詹森淮,
298,3eCd0TZrBPm2n9cDG6yWfF,DEAN,
299,74eY8wbrhhVD7pACbBHwHw,Imany,
300,53M4Iv2RkzzxFFvW2B1jhC,Breathe Carolina,
301,5bavKfuSixZTrpyxC0qmfj,Vahtera,
302,1GDbiv3spRmZ1XdM1jQbT7,Natti Natasha,
303,47WAtpqR2af9uiq2HWwWNM,Torino,
304,5OemWwf9Sner20swdWDZ4D,Dúné,
305,3XDNaJG2TakPZ48n2GJ0NN,Chilam,
306,184bX1ApmIMyWU3TcpTy93,Afrodisiaco,
307,7rz6ZZErn5YFDteXKhyf3g,Disiz,
308,2vC9iXUwT0wCCbsz4jBiOc,RYM,
309,5zwOFEgl0YcJG2RXJTwFdS,Khairil Johari Johar,
310,4KepPsJTbS1Ei7O7UUIlA9,Bigal & L Jake,
311,0Q35wRRhdsU8EbsJ1eouCY,The Black Seeds,
312,7c1rIwBQdZMoJD4VE9luoS,Clara,
313,6CSKMBCeQhddsPL63zvDhX,Dj Leska,
314,4GepMkTgrIZECoCC55vqjW,Marama,
315,1BL6GqNelzfXpMcZRI3jwW,Tropical Caribe De Los Hnos Loera,
316,3gggmBN0erstm3YJvEGe3t,Jake Miller,
317,4XpUIb8uuNlIWVKmgKZXC0,ZICO,
